comarca,cultivo,tipo_riego,year,produccion_tn
Tierra Estella,Cebada,Regadío,2023,3635.4
Tierra Estella,Cebada,Regadío,2025,3406.2000000000003
Tierra Estella,Cebada,Secano,2015,72864.342
Tierra Estella,Cebada,Secano,2017,88740.14099999999
Tierra Estella,Cebada,Secano,2019,69819.52
Tierra Estella,Cebada,Secano,2021,66152.16
Tierra Estella,Cebada,Secano,2023,56223.062999999995
Tierra Estella,Cebada,Secano,2025,64723.6
Tierra Estella,Cebada,Total,2015,77252.95000000001
Tierra Estella,Cebada,Total,2017,93252.57599999999
Tierra Estella,Cebada,Total,2019,74029.97
Tierra Estella,Cebada,Total,2021,69050.715
Tierra Estella,Cebada,Total,2023,59858.462999999996
Tierra Estella,Cebada,Total,2025,68129.8
Tierra Estella,Trigo blando,Regadío,2015,4223.45
Tierra Estella,Trigo blando,Regadío,2017,4363.2
Tierra Estella,Trigo blando,Regadío,2019,6175.676
Tierra Estella,Trigo blando,Regadío,2021,6179.826
Tierra Estella,Trigo blando,Regadío,2023,4689.0
Tierra Estella,Trigo blando,Regadío,2025,4855.900000000001
Tierra Estella,Trigo blando,Secano,2015,72491.137
Tierra Estella,Trigo blando,Secano,2017,82295.872
Tierra Estella,Trigo blando,Secano,2019,93079.22600000001
Tierra Estella,Trigo blando,Secano,2021,101495.53
Tierra Estella,Trigo blando,Secano,2023,68168.884
Tierra Estella,Trigo blando,Secano,2025,98540.0
Tierra Estella,Trigo blando,Total,2015,76714.587
Tierra Estella,Trigo blando,Total,2017,86659.072
Tierra Estella,Trigo blando,Total,2019,99254.90200000002
Tierra Estella,Trigo blando,Total,2021,107675.356
Tierra Estella,Trigo blando,Total,2023,72857.884
Tierra Estella,Trigo blando,Total,2025,103395.9
